psg_id,o_node_id,d_node_id,o_time,d_time
0,12,39,38,58
1,12,39,38,58
2,12,39,38,58
3,60,41,35,45
4,60,41,35,45
5,60,41,35,45
6,95,85,43,47
7,40,65,62,79
8,40,65,62,79
9,62,46,47,63
10,62,46,47,63
11,62,46,47,63
12,62,46,47,63
13,10,64,43,65
14,46,17,65,76
15,49,7,45,60
16,62,63,48,52
17,62,63,48,52
18,95,61,67,84
19,95,61,67,84
20,61,18,71,105
21,61,18,71,105
22,61,18,71,105
23,61,18,71,105
24,32,42,51,57
25,63,99,35,58
26,63,99,35,58
27,63,99,35,58
28,84,33,50,66
29,9,22,59,79
30,54,96,37,55
31,11,65,34,53
32,11,65,34,53
33,95,19,58,88
34,27,68,67,81
35,27,68,67,81
36,47,22,41,53
37,51,85,62,77
38,51,85,62,77
39,51,85,62,77
40,51,85,62,77
41,52,32,52,58
42,59,61,31,53
43,69,18,40,55
44,74,19,60,88
45,95,69,31,49
46,77,89,58,65
47,77,89,58,65
48,89,23,51,73
49,82,0,34,55
50,82,0,34,55
51,82,0,34,55
52,63,36,40,53
53,63,36,40,53
54,13,57,63,81
55,13,57,63,81
56,13,57,63,81
57,96,52,65,81
58,9,92,31,70
59,9,92,31,70
60,8,30,37,61
61,86,99,70,83
62,86,99,70,83
63,66,87,40,50
64,96,98,36,44
65,24,80,34,62
66,90,36,57,79
67,56,58,33,41
68,90,5,54,82
69,26,13,40,49
70,26,13,40,49
71,12,95,70,98
72,73,40,72,88
73,63,17,59,82
74,53,47,71,88
75,57,11,38,59
76,71,82,55,62
77,71,82,55,62
78,53,81,34,46
79,53,81,34,46
80,82,0,47,68
81,37,18,32,42
82,37,18,32,42
83,37,18,32,42
84,59,57,57,64
85,23,68,62,84
86,23,68,62,84
87,99,81,61,82
88,99,81,61,82
89,99,81,61,82
90,9,47,50,67
91,9,47,50,67
92,91,38,31,56
93,13,98,34,63
94,42,87,65,84
95,42,87,65,84
96,77,42,64,83
97,71,44,59,76
98,15,8,69,77
99,15,8,69,77
100,81,31,61,74
101,81,30,57,71
102,81,5,35,62
103,14,27,37,49
104,17,75,35,56
105,20,8,63,82
106,25,83,49,69
107,25,83,49,69
108,91,20,52,70
109,91,20,52,70
110,83,42,54,69
111,7,63,42,68
112,60,92,56,71
113,60,92,56,71
114,17,21,48,62
115,56,70,37,53
116,56,70,37,53
117,48,7,57,67
118,35,99,68,93
119,58,55,52,60
120,14,57,59,78
121,45,80,42,66
122,19,43,62,82
123,19,43,62,82
124,80,63,47,57
125,42,49,49,69
126,4,8,36,43
127,1,74,65,87
128,18,37,56,62
129,18,37,56,62
130,32,58,54,76
131,36,57,71,80
132,50,77,70,88
133,23,49,35,55
134,50,98,62,95
135,86,5,42,60
136,33,46,69,81
137,66,56,44,48
138,15,1,59,72
139,47,96,32,43
140,1,0,30,36
141,51,83,56,68
142,37,60,70,93
143,6,77,54,70
144,94,76,50,60
145,94,76,50,60
146,35,68,40,57
147,70,25,58,77
148,55,88,46,62
149,55,88,46,62
150,49,86,35,53
151,57,29,34,46
152,39,76,54,73
153,3,30,41,54
154,3,30,41,54
155,3,30,41,54
156,30,39,70,89
157,97,35,51,72
158,97,35,51,72
159,94,95,33,39
160,76,7,32,45
161,99,73,66,85
162,99,73,66,85
163,99,73,66,85
164,49,66,57,71
165,58,42,68,84
166,58,42,68,84
167,58,42,68,84
168,58,42,68,84
169,58,42,68,84
170,99,81,44,65
171,56,39,44,55
172,19,55,46,67
173,90,96,38,55
174,40,19,63,96
175,40,19,63,96
176,40,61,52,62
177,4,63,60,79
178,30,74,63,80
179,30,74,63,80
180,30,74,63,80
181,30,64,36,52
182,48,58,53,57
183,57,43,51,62
184,57,43,51,62
185,16,73,41,59
186,62,7,37,58
187,62,7,37,58
188,50,72,60,70
189,50,72,60,70
190,67,51,37,55
191,33,30,72,81
192,31,89,49,76
193,56,0,35,59
194,42,69,70,93
195,42,69,70,93
196,42,69,70,93
197,58,50,71,89
198,58,50,71,89
199,11,2,72,79
