road_link_id,from_node_id,to_node_id,link_type,length
0,0,1,1,3
1,0,10,1,2
2,1,2,1,2
3,1,0,1,3
4,1,11,1,3
5,2,3,1,1
6,2,1,1,1
7,2,12,1,1
8,3,4,1,2
9,3,2,1,2
10,3,13,1,1
11,4,5,1,1
12,4,3,1,2
13,4,14,1,2
14,5,6,1,1
15,5,4,1,3
16,5,15,1,3
17,6,7,1,1
18,6,5,1,3
19,6,16,1,1
20,7,8,1,1
21,7,6,1,1
22,7,17,1,2
23,8,9,1,1
24,8,7,1,1
25,8,18,1,3
26,9,8,1,3
27,9,19,1,3
28,10,11,1,1
29,10,0,1,1
30,10,20,1,3
31,11,12,1,3
32,11,10,1,1
33,11,1,1,2
34,11,21,1,2
35,12,13,1,2
36,12,11,1,2
37,12,2,1,3
38,12,22,1,2
39,13,14,1,3
40,13,12,1,3
41,13,3,1,1
42,13,23,1,2
43,14,15,1,2
44,14,13,1,2
45,14,4,1,1
46,14,24,1,3
47,15,16,1,2
48,15,14,1,2
49,15,5,1,2
50,15,25,1,3
51,16,17,1,3
52,16,15,1,1
53,16,6,1,1
54,16,26,1,2
55,17,18,1,3
56,17,16,1,1
57,17,7,1,1
58,17,27,1,3
59,18,19,1,3
60,18,17,1,3
61,18,8,1,1
62,18,28,1,1
63,19,18,1,3
64,19,9,1,3
65,19,29,1,3
66,20,21,1,1
67,20,10,1,3
68,20,30,1,3
69,21,22,1,1
70,21,20,1,1
71,21,11,1,3
72,21,31,1,2
73,22,23,1,1
74,22,21,1,1
75,22,12,1,3
76,22,32,1,2
77,23,24,1,1
78,23,22,1,3
79,23,13,1,3
80,23,33,1,1
81,24,25,1,2
82,24,23,1,1
83,24,14,1,1
84,24,34,1,3
85,25,26,1,3
86,25,24,1,1
87,25,15,1,2
88,25,35,1,2
89,26,27,1,1
90,26,25,1,1
91,26,16,1,1
92,26,36,1,3
93,27,28,1,3
94,27,26,1,1
95,27,17,1,3
96,27,37,1,3
97,28,29,1,2
98,28,27,1,2
99,28,18,1,3
100,28,38,1,1
101,29,28,1,2
102,29,19,1,2
103,29,39,1,1
104,30,31,1,2
105,30,20,1,3
106,30,40,1,2
107,31,32,1,1
108,31,30,1,1
109,31,21,1,3
110,31,41,1,2
111,32,33,1,2
112,32,31,1,3
113,32,22,1,2
114,32,42,1,3
115,33,34,1,3
116,33,32,1,2
117,33,23,1,2
118,33,43,1,1
119,34,35,1,1
120,34,33,1,2
121,34,24,1,2
122,34,44,1,1
123,35,36,1,1
124,35,34,1,1
125,35,25,1,1
126,35,45,1,2
127,36,37,1,2
128,36,35,1,3
129,36,26,1,3
130,36,46,1,2
131,37,38,1,1
132,37,36,1,3
133,37,27,1,1
134,37,47,1,2
135,38,39,1,3
136,38,37,1,1
137,38,28,1,1
138,38,48,1,1
139,39,38,1,2
140,39,29,1,2
141,39,49,1,3
142,40,41,1,3
143,40,30,1,2
144,40,50,1,2
145,41,42,1,2
146,41,40,1,2
147,41,31,1,1
148,41,51,1,2
149,42,43,1,2
150,42,41,1,2
151,42,32,1,1
152,42,52,1,3
153,43,44,1,3
154,43,42,1,3
155,43,33,1,1
156,43,53,1,3
157,44,45,1,3
158,44,43,1,1
159,44,34,1,3
160,44,54,1,2
161,45,46,1,2
162,45,44,1,1
163,45,35,1,2
164,45,55,1,3
165,46,47,1,3
166,46,45,1,1
167,46,36,1,1
168,46,56,1,2
169,47,48,1,2
170,47,46,1,3
171,47,37,1,1
172,47,57,1,1
173,48,49,1,2
174,48,47,1,2
175,48,38,1,1
176,48,58,1,1
177,49,48,1,2
178,49,39,1,1
179,49,59,1,3
180,50,51,1,1
181,50,40,1,2
182,50,60,1,2
183,51,52,1,3
184,51,50,1,2
185,51,41,1,3
186,51,61,1,1
187,52,53,1,2
188,52,51,1,2
189,52,42,1,2
190,52,62,1,1
191,53,54,1,1
192,53,52,1,3
193,53,43,1,3
194,53,63,1,2
195,54,55,1,3
196,54,53,1,2
197,54,44,1,1
198,54,64,1,3
199,55,56,1,2
200,55,54,1,1
201,55,45,1,3
202,55,65,1,2
203,56,57,1,2
204,56,55,1,1
205,56,46,1,1
206,56,66,1,1
207,57,58,1,3
208,57,56,1,3
209,57,47,1,2
210,57,67,1,2
211,58,59,1,2
212,58,57,1,1
213,58,48,1,2
214,58,68,1,3
215,59,58,1,3
216,59,49,1,1
217,59,69,1,1
218,60,61,1,3
219,60,50,1,2
220,60,70,1,3
221,61,62,1,1
222,61,60,1,1
223,61,51,1,3
224,61,71,1,3
225,62,63,1,1
226,62,61,1,2
227,62,52,1,1
228,62,72,1,1
229,63,64,1,2
230,63,62,1,2
231,63,53,1,1
232,63,73,1,1
233,64,65,1,3
234,64,63,1,2
235,64,54,1,3
236,64,74,1,3
237,65,66,1,1
238,65,64,1,3
239,65,55,1,3
240,65,75,1,1
241,66,67,1,3
242,66,65,1,2
243,66,56,1,1
244,66,76,1,1
245,67,68,1,3
246,67,66,1,3
247,67,57,1,3
248,67,77,1,2
249,68,69,1,3
250,68,67,1,3
251,68,58,1,3
252,68,78,1,1
253,69,68,1,1
254,69,59,1,3
255,69,79,1,2
256,70,71,1,1
257,70,60,1,1
258,70,80,1,3
259,71,72,1,1
260,71,70,1,3
261,71,61,1,1
262,71,81,1,2
263,72,73,1,1
264,72,71,1,1
265,72,62,1,1
266,72,82,1,2
267,73,74,1,2
268,73,72,1,3
269,73,63,1,2
270,73,83,1,1
271,74,75,1,2
272,74,73,1,1
273,74,64,1,2
274,74,84,1,3
275,75,76,1,2
276,75,74,1,1
277,75,65,1,3
278,75,85,1,3
279,76,77,1,1
280,76,75,1,2
281,76,66,1,1
282,76,86,1,3
283,77,78,1,1
284,77,76,1,3
285,77,67,1,2
286,77,87,1,1
287,78,79,1,2
288,78,77,1,3
289,78,68,1,2
290,78,88,1,1
291,79,78,1,1
292,79,69,1,1
293,79,89,1,3
294,80,81,1,2
295,80,70,1,1
296,80,90,1,3
297,81,82,1,2
298,81,80,1,3
299,81,71,1,2
300,81,91,1,1
301,82,83,1,1
302,82,81,1,3
303,82,72,1,1
304,82,92,1,2
305,83,84,1,2
306,83,82,1,2
307,83,73,1,3
308,83,93,1,2
309,84,85,1,1
310,84,83,1,2
311,84,74,1,2
312,84,94,1,1
313,85,86,1,2
314,85,84,1,2
315,85,75,1,1
316,85,95,1,1
317,86,87,1,3
318,86,85,1,1
319,86,76,1,3
320,86,96,1,2
321,87,88,1,2
322,87,86,1,1
323,87,77,1,1
324,87,97,1,1
325,88,89,1,1
326,88,87,1,3
327,88,78,1,2
328,88,98,1,3
329,89,88,1,2
330,89,79,1,3
331,89,99,1,3
332,90,91,1,1
333,90,80,1,1
334,91,92,1,2
335,91,90,1,3
336,91,81,1,1
337,92,93,1,3
338,92,91,1,3
339,92,82,1,3
340,93,94,1,3
341,93,92,1,1
342,93,83,1,2
343,94,95,1,3
344,94,93,1,2
345,94,84,1,1
346,95,96,1,2
347,95,94,1,3
348,95,85,1,1
349,96,97,1,3
350,96,95,1,3
351,96,86,1,1
352,97,98,1,2
353,97,96,1,1
354,97,87,1,3
355,98,99,1,3
356,98,97,1,3
357,98,88,1,1
358,99,98,1,1
359,99,89,1,2
