psg_id,o_node_id,d_node_id,o_time,d_time
0,30,39,34,57
1,30,39,34,57
2,61,56,31,41
3,27,20,37,53
4,7,0,47,63
5,90,10,70,87
6,90,10,70,87
7,57,17,71,83
8,95,15,59,79
9,77,33,59,80
10,77,33,59,80
11,69,60,45,69
12,50,58,53,68
13,50,58,53,68
14,50,58,53,68
15,94,91,57,66
16,74,24,58,72
17,67,61,68,84
18,37,31,36,52
19,10,90,49,71
20,13,10,54,63
21,47,32,40,58
22,47,32,40,58
23,47,32,40,58
24,70,0,37,52
25,37,36,36,42
26,31,39,68,88
27,31,39,68,88
28,80,88,54,74
29,35,95,72,88
30,70,16,64,89
31,70,16,64,89
32,99,19,63,83
33,2,8,49,64
34,38,93,51,76
35,35,30,45,57
36,94,1,57,79
37,50,58,69,84
38,3,93,50,70
39,3,93,50,70
40,43,83,52,61
41,67,7,32,47
42,54,58,69,77
43,48,88,46,55
44,34,6,33,45
45,34,6,33,45
46,83,88,69,83
47,83,88,69,83
48,29,83,45,77
49,29,76,48,70
50,29,76,48,70
51,29,76,48,70
52,54,91,56,76
53,3,83,42,60
54,14,94,45,67
55,59,50,70,89
56,99,78,51,60
57,10,34,32,51
58,97,32,58,86
59,97,32,58,86
60,16,96,65,89
61,35,48,51,64
62,6,96,51,77
63,4,94,44,67
64,14,19,50,63
65,50,85,70,93
66,77,11,63,90
67,91,11,60,77
68,91,11,60,77
69,7,0,61,77
70,7,0,61,77
71,82,32,60,72
72,82,32,60,72
73,72,23,53,67
74,34,39,68,81
75,10,80,37,58
76,10,80,37,58
77,2,92,50,72
78,2,92,50,72
79,2,92,50,72
80,50,59,67,85
81,99,91,58,78
82,99,91,58,78
83,99,14,64,96
84,87,17,54,70
85,72,30,65,78
86,71,99,54,76
87,0,8,48,68
88,0,8,48,68
89,25,85,43,57
90,47,41,45,60
91,48,88,66,75
92,6,1,50,60
93,12,23,51,59
94,12,23,51,59
95,75,15,32,48
96,75,15,32,48
97,75,15,32,48
98,75,15,32,48
99,75,15,32,48
100,47,94,50,72
101,98,62,32,55
102,36,86,43,59
103,27,21,39,53
104,86,81,62,75
105,84,79,66,81
106,84,79,66,81
107,19,89,34,53
108,19,89,34,53
109,24,84,39,57
110,46,40,32,48
111,77,71,58,71
112,33,39,50,66
113,33,39,50,66
114,33,39,50,66
115,15,95,30,50
116,18,59,57,72
117,46,40,65,81
118,57,10,53,79
119,86,18,66,89
120,86,18,66,89
121,80,84,64,76
122,33,32,50,55
123,52,67,59,77
124,21,81,37,48
125,58,18,63,74
126,87,7,70,88
127,87,7,70,88
128,89,80,65,86
129,75,5,70,87
130,75,5,70,87
131,5,50,32,54
132,11,40,42,54
133,55,51,68,79
134,55,51,68,79
135,60,69,49,74
136,60,69,49,74
137,87,81,52,67
138,93,98,64,76
139,36,30,48,63
140,7,1,37,50
141,61,23,71,81
142,56,50,56,70
143,44,27,62,76
144,93,13,64,79
145,19,24,71,83
146,60,71,56,65
147,2,8,50,65
148,94,4,58,77
149,90,0,65,84
150,28,45,51,66
151,95,15,54,74
152,95,15,54,74
153,95,15,54,74
154,49,41,45,65
155,31,91,44,54
156,59,19,53,66
157,59,19,53,66
158,44,48,41,52
159,23,2,47,54
160,12,18,44,59
161,42,82,34,46
162,42,82,34,46
163,7,10,36,54
164,32,38,44,60
165,80,10,63,77
166,11,65,39,60
167,11,65,39,60
168,71,79,56,74
169,12,18,38,53
170,49,66,48,64
171,96,91,52,65
172,62,12,51,63
173,39,30,70,91
174,97,88,52,61
175,48,90,37,65
176,57,90,51,78
177,57,90,51,78
178,80,88,52,72
179,80,88,53,73
180,61,11,69,77
181,37,39,32,40
182,37,39,32,40
183,62,2,64,79
184,62,2,64,79
185,62,2,64,79
186,62,2,64,79
187,49,99,50,64
188,30,38,46,67
189,30,38,46,67
190,47,72,48,67
191,47,72,48,67
192,67,7,58,73
193,18,30,47,71
194,99,9,66,88
195,38,70,42,67
196,38,70,42,67
197,65,70,54,69
198,65,70,54,69
199,84,4,65,83
