psg_id,o_node_id,d_node_id,o_time,d_time
0,63,69,60,75
1,63,69,60,75
2,33,83,63,77
3,15,95,33,50
4,13,83,50,67
5,9,89,33,50
6,83,3,33,51
7,91,85,44,64
8,3,72,40,64
9,12,72,40,61
10,9,6,33,47
11,71,78,63,81
12,46,86,59,69
13,41,49,40,62
14,41,49,40,62
15,65,48,32,51
16,75,15,38,53
17,86,16,45,65
18,40,90,46,58
19,88,8,60,83
20,88,8,60,83
21,29,89,63,75
22,22,28,40,54
23,32,82,40,51
24,32,82,40,51
25,79,71,59,78
26,15,33,68,87
27,15,33,68,87
28,17,11,68,84
29,27,97,66,88
30,27,97,66,88
31,59,19,65,77
32,30,38,43,64
33,29,10,54,86
34,91,11,46,68
35,97,91,36,46
36,23,28,64,77
37,49,41,39,60
38,26,86,56,69
39,49,40,51,75
40,10,80,43,60
41,91,1,48,72
42,87,17,56,71
43,61,68,45,60
44,44,94,46,60
45,44,94,46,60
46,55,50,71,85
47,89,19,65,83
48,51,58,39,58
49,51,58,39,58
50,51,58,39,58
51,3,9,48,66
52,20,62,36,57
53,96,16,33,54
54,74,14,44,59
55,30,39,60,83
56,30,39,60,83
57,27,97,66,88
58,50,0,46,61
59,70,78,43,62
60,55,15,38,50
61,55,15,38,50
62,42,82,39,48
63,11,18,70,85
64,11,18,70,85
65,57,17,30,40
66,57,17,30,40
67,50,59,46,69
68,66,60,52,66
69,96,16,43,64
70,96,16,43,64
71,96,16,43,64
72,96,16,43,64
73,2,8,65,82
74,65,15,31,44
75,65,15,31,44
76,65,15,31,44
77,87,81,70,85
78,87,81,70,85
79,83,13,66,83
80,73,13,58,74
81,73,13,58,74
82,2,8,66,83
83,2,8,66,83
84,2,8,66,83
85,2,8,66,83
86,90,98,68,92
87,30,38,50,71
88,13,93,66,85
89,66,6,30,48
90,66,6,30,48
91,66,6,30,48
92,80,10,55,74
93,71,78,54,72
94,15,41,44,64
95,0,8,45,64
96,0,8,45,64
97,81,1,41,62
98,86,16,62,82
99,86,16,62,82
100,3,9,51,69
101,44,48,72,84
102,43,83,53,64
103,71,78,43,61
104,47,40,38,56
105,47,40,38,56
106,70,10,40,56
107,67,61,33,47
108,51,11,66,76
109,51,11,66,76
110,94,98,35,48
111,96,16,43,64
112,31,97,62,100
113,85,15,33,50
114,85,15,33,50
115,10,80,71,88
116,10,80,71,88
117,32,24,50,63
118,32,24,50,63
119,32,24,50,63
120,43,93,39,52
121,32,82,45,56
122,32,82,45,56
123,6,1,33,46
124,50,0,38,53
125,50,0,38,53
126,68,18,36,52
127,71,1,54,72
128,71,1,54,72
129,10,90,41,60
130,29,21,49,70
131,29,21,49,70
132,29,21,49,70
133,29,21,49,70
134,29,21,49,70
135,29,21,49,70
136,18,11,64,83
137,52,2,62,75
138,86,81,31,43
139,86,81,31,43
140,86,81,31,43
141,29,15,68,90
142,15,85,42,57
143,12,18,54,68
144,21,91,47,64
145,90,98,30,54
146,90,98,30,54
147,57,51,66,82
148,27,20,33,50
149,83,3,43,61
150,83,3,43,61
151,83,3,43,61
152,89,19,43,61
153,0,90,36,58
154,88,18,59,79
155,97,17,39,56
156,97,17,39,56
157,45,95,52,64
158,45,95,52,64
159,49,40,44,68
160,84,89,62,75
161,5,38,57,75
162,5,38,57,75
163,32,82,56,67
164,32,82,56,67
165,54,58,39,50
166,54,58,39,50
167,47,41,38,53
168,68,8,66,85
169,68,8,66,85
170,68,8,66,85
171,68,8,66,85
172,9,99,68,87
173,79,9,55,75
174,46,96,54,66
175,46,96,54,66
176,46,96,54,66
177,46,96,54,66
178,46,96,54,66
179,26,53,35,56
180,26,53,35,56
181,47,87,46,59
182,1,68,61,98
183,14,50,45,72
184,16,86,35,50
185,16,86,35,50
186,50,58,56,77
187,75,15,31,46
188,75,15,31,46
189,75,15,31,46
190,17,10,72,90
191,53,58,67,81
192,37,31,56,73
193,71,11,58,74
194,71,11,58,74
195,71,11,58,74
196,88,18,42,62
197,53,59,59,75
198,94,4,68,90
199,47,41,43,58
