psg_id,o_node_id,d_node_id,o_time,d_time
0,21,6,62,84
1,31,81,50,65
2,23,87,35,69
3,66,61,53,66
4,17,97,44,65
5,29,21,49,67
6,36,30,36,52
7,16,86,31,46
8,29,18,72,85
9,50,10,56,67
10,88,18,38,58
11,11,91,52,71
12,16,10,55,70
13,50,58,69,84
14,8,78,51,75
15,80,0,61,80
16,80,0,61,80
17,6,0,48,62
18,6,0,48,62
19,49,89,39,48
20,49,89,39,48
21,62,12,72,84
22,57,78,69,84
23,57,78,69,84
24,57,78,69,84
25,3,93,51,77
26,3,93,51,77
27,85,80,50,66
28,85,80,50,66
29,85,80,50,66
30,93,1,71,105
31,0,90,62,79
32,93,99,37,53
33,96,98,69,82
34,34,84,53,66
35,2,82,39,59
36,2,82,39,59
37,2,82,39,59
38,2,82,39,59
39,98,91,50,67
40,22,92,38,55
41,62,12,52,64
42,95,5,38,61
43,37,30,57,74
44,37,30,57,74
45,79,4,66,94
46,13,18,46,57
47,58,50,55,74
48,72,12,48,63
49,72,12,48,63
50,33,93,50,68
51,92,98,42,56
52,92,98,42,56
53,46,86,72,81
54,46,86,72,81
55,95,90,48,63
56,95,90,48,63
57,85,80,53,69
58,11,91,34,53
59,54,4,38,51
60,45,41,53,66
61,45,41,53,66
62,6,0,31,45
63,53,59,58,70
64,74,93,55,70
65,74,93,55,70
66,49,39,72,82
67,49,39,72,82
68,97,7,39,58
69,97,7,39,58
70,57,17,33,42
71,46,40,58,75
72,25,20,30,44
73,25,20,30,44
74,25,20,30,44
75,5,95,62,80
76,90,98,71,89
77,25,21,67,78
78,99,9,51,71
79,14,84,32,49
80,14,84,32,49
81,22,32,30,41
82,61,69,45,65
83,50,0,62,76
84,39,89,45,55
85,52,2,39,51
86,52,2,39,51
87,73,3,63,79
88,73,3,63,79
89,73,3,63,79
90,0,90,32,49
91,20,90,30,44
92,20,90,30,44
93,53,3,61,75
94,84,88,48,59
95,4,9,71,84
96,4,9,71,84
97,94,4,71,92
98,34,38,58,69
99,34,38,58,69
100,6,0,72,86
101,6,0,72,86
102,6,0,72,86
103,56,51,72,84
104,2,8,70,84
105,52,58,65,76
106,53,3,38,52
107,56,50,69,82
108,40,80,44,53
109,87,7,59,76
110,87,7,59,76
111,84,14,68,83
112,75,15,52,66
113,35,30,38,51
114,23,93,65,86
115,23,93,65,86
116,23,93,65,86
117,97,7,55,74
118,68,18,52,67
119,68,18,52,67
120,51,11,69,82
121,79,9,35,50
122,3,8,52,65
123,3,8,52,65
124,11,81,40,58
125,37,31,36,51
126,37,31,36,51
127,37,31,36,51
128,92,12,31,48
129,92,12,31,48
130,61,69,68,88
131,98,94,48,63
132,98,94,48,63
133,16,86,49,64
134,5,95,43,61
135,5,95,43,61
136,95,15,49,69
137,20,90,66,80
138,20,80,62,75
139,20,80,62,75
140,20,80,62,75
141,87,80,68,87
142,87,80,68,87
143,96,16,44,65
144,21,22,44,54
145,21,22,44,54
146,6,87,60,86
147,6,86,42,60
148,23,18,34,54
149,23,18,34,54
150,23,18,34,54
151,23,18,34,54
152,54,59,51,62
153,10,68,32,67
154,56,49,54,72
155,2,82,46,66
156,2,82,46,66
157,45,41,70,83
158,69,61,31,51
159,10,80,51,65
160,15,95,42,57
161,37,31,38,53
162,75,71,39,49
163,54,58,51,60
164,23,33,53,65
165,23,33,53,65
166,59,95,61,84
167,44,57,51,68
168,91,98,58,73
169,91,98,58,73
170,91,11,56,79
171,11,8,52,75
172,11,8,52,75
173,29,21,40,58
174,91,1,58,83
175,93,99,65,81
176,74,79,45,57
177,74,79,45,57
178,15,85,33,47
179,27,97,39,58
180,45,40,33,47
181,60,10,64,76
182,60,10,64,76
183,89,80,43,65
184,89,80,43,65
185,91,99,32,50
186,54,14,51,61
187,54,14,51,61
188,95,5,47,70
189,78,8,61,81
190,78,8,61,81
191,61,69,65,85
192,61,69,65,85
193,28,20,54,73
194,27,20,36,53
195,4,94,59,78
196,92,2,72,92
197,67,7,43,56
198,77,7,36,56
199,24,74,46,65
