psg_id,o_node_id,d_node_id,o_time,d_time
0,28,80,66,97
1,28,80,66,97
2,41,60,30,40
3,57,56,57,61
4,57,56,57,61
5,83,34,63,76
6,19,10,32,58
7,43,17,38,54
8,43,17,38,54
9,45,91,37,57
10,45,91,37,57
11,86,23,61,81
12,52,18,66,88
13,29,8,51,60
14,29,8,51,60
15,29,8,51,60
16,29,8,51,60
17,29,8,51,60
18,29,8,51,60
19,29,8,51,60
20,29,8,51,60
21,68,30,54,78
22,68,30,54,78
23,68,30,54,78
24,26,78,35,53
25,50,65,56,70
26,50,65,56,70
27,50,65,56,70
28,52,36,60,75
29,47,0,41,69
30,73,54,60,69
31,19,73,45,74
32,90,40,52,63
33,90,40,52,63
34,49,62,37,59
35,18,46,69,82
36,13,24,39,48
37,13,24,39,48
38,13,24,39,48
39,13,24,39,48
40,53,22,64,72
41,53,22,64,72
42,53,22,64,72
43,53,22,64,72
44,53,22,64,72
45,53,22,64,72
46,53,22,64,72
47,53,22,64,72
48,3,32,45,57
49,17,77,45,59
50,70,31,57,69
51,11,90,51,74
52,31,35,33,44
53,87,66,31,42
54,75,25,64,80
55,40,72,67,82
56,99,98,52,56
57,99,98,52,56
58,99,98,52,56
59,59,78,58,67
60,60,13,68,81
61,46,99,46,66
62,15,67,38,54
63,30,65,53,69
64,30,65,53,69
65,47,57,32,38
66,86,31,61,81
67,79,20,57,86
68,60,93,55,66
69,60,93,55,66
70,83,65,62,72
71,83,65,62,72
72,83,65,62,72
73,50,10,36,44
74,72,21,50,64
75,72,21,50,64
76,72,21,50,64
77,65,37,69,86
78,11,40,51,62
79,65,82,62,75
80,13,84,34,55
81,85,17,59,83
82,27,96,70,88
83,97,80,55,76
84,60,85,46,61
85,60,85,46,61
86,9,31,39,62
87,9,31,39,62
88,9,31,39,62
89,9,31,39,62
90,9,31,39,62
91,93,69,45,66
92,88,80,39,58
93,82,29,72,98
94,24,9,32,50
95,72,13,58,72
96,72,13,58,72
97,11,58,34,60
98,61,46,54,71
99,65,37,66,83
100,65,37,66,83
101,71,47,51,73
102,71,47,51,73
103,10,86,53,80
104,10,86,53,80
105,10,86,53,80
106,36,50,37,57
107,36,50,37,57
108,16,0,30,48
109,84,54,51,58
110,84,54,51,58
111,36,2,32,50
112,56,94,44,60
113,98,27,47,70
114,98,27,47,70
115,85,15,58,78
116,25,33,62,70
117,25,33,62,70
118,25,33,62,70
119,97,85,62,74
120,97,85,62,74
121,52,40,39,50
122,93,62,54,66
123,36,53,52,67
124,3,25,39,52
125,95,92,58,67
126,95,92,58,67
127,95,92,58,67
128,57,72,31,50
129,65,95,52,61
130,90,47,51,76
131,90,47,51,76
132,90,47,51,76
133,16,14,50,58
134,16,14,50,58
135,16,14,50,58
136,58,64,71,85
137,20,32,42,52
138,20,32,42,52
139,95,57,67,86
140,22,18,47,64
141,60,29,59,83
142,78,77,65,71
143,14,48,35,56
144,14,48,35,56
145,51,79,61,89
146,51,79,61,89
147,51,79,61,89
148,52,84,67,80
149,42,62,30,37
150,56,97,65,80
151,56,8,51,69
152,62,1,69,85
153,62,1,69,85
154,62,1,69,85
155,15,17,50,57
156,15,17,50,57
157,3,77,40,69
158,3,77,40,69
159,27,69,52,67
160,27,77,45,58
161,35,93,40,59
162,94,22,60,78
163,75,12,51,74
164,75,12,51,74
165,8,31,47,70
166,5,69,51,75
167,52,99,62,86
168,88,70,51,78
169,9,13,45,65
170,15,97,47,70
171,45,33,32,40
172,45,33,32,40
173,86,78,53,64
174,86,78,53,64
175,47,79,43,57
176,47,79,43,57
177,47,79,43,57
178,20,16,56,70
179,16,32,34,46
180,16,32,34,46
181,0,49,34,63
182,0,49,34,63
183,0,49,34,63
184,0,49,34,63
185,76,35,67,80
186,39,74,49,71
187,1,13,51,58
188,1,13,51,58
189,97,88,55,62
190,0,65,36,59
191,0,65,36,59
192,0,65,36,59
193,0,65,36,59
194,67,11,57,86
195,20,17,51,67
196,20,17,51,67
197,4,13,51,59
198,93,61,51,66
199,93,61,51,66
