psg_id,o_node_id,d_node_id,o_time,d_time
0,68,18,68,80
1,81,88,37,52
2,54,58,41,50
3,54,58,41,50
4,75,71,37,48
5,23,29,62,79
6,79,71,31,50
7,90,10,63,83
8,59,9,55,69
9,59,9,55,69
10,7,0,63,78
11,55,50,43,54
12,55,50,43,54
13,68,18,53,65
14,23,93,34,54
15,84,4,32,53
16,22,20,58,73
17,97,90,40,57
18,97,17,52,71
19,76,16,55,68
20,76,16,55,68
21,76,16,55,68
22,58,50,56,73
23,51,58,71,86
24,51,58,71,86
25,0,80,33,51
26,33,93,48,66
27,33,93,48,66
28,4,84,61,77
29,4,84,61,77
30,70,0,33,53
31,4,8,52,63
32,4,8,52,63
33,20,95,49,83
34,4,28,42,65
35,91,82,33,45
36,62,69,51,69
37,74,13,47,71
38,74,13,47,71
39,17,54,47,68
40,96,91,66,79
41,96,91,35,54
42,96,91,35,54
43,95,5,30,51
44,12,18,54,72
45,1,8,41,60
46,78,71,55,71
47,68,63,42,61
48,84,88,68,79
49,78,71,71,87
50,84,4,68,89
51,84,4,68,89
52,63,68,35,49
53,78,18,42,56
54,80,10,56,75
55,58,18,48,58
56,60,10,57,72
57,60,10,57,72
58,54,20,50,75
59,20,64,64,83
60,50,51,50,61
61,50,51,50,61
62,50,51,50,61
63,32,92,49,66
64,32,92,49,66
65,12,92,59,81
66,12,92,59,81
67,85,15,60,75
68,24,29,62,76
69,24,29,62,76
70,24,29,62,76
71,24,29,62,76
72,24,29,62,76
73,82,89,51,67
74,82,89,51,67
75,95,5,34,55
76,88,18,34,51
77,74,78,59,71
78,41,48,70,87
79,44,84,41,49
80,77,70,61,78
81,44,48,66,75
82,3,8,62,76
83,47,41,57,70
84,62,2,46,59
85,62,2,46,59
86,22,92,71,90
87,91,11,48,65
88,26,21,42,55
89,26,21,42,55
90,70,39,66,102
91,28,98,32,45
92,46,96,64,76
93,26,86,67,88
94,36,30,41,58
95,36,30,41,58
96,62,9,44,77
97,62,9,44,77
98,69,19,70,82
99,87,80,56,79
100,50,10,40,53
101,74,14,32,48
102,22,28,52,71
103,81,11,46,61
104,81,11,46,61
105,49,99,36,51
106,43,42,68,78
107,43,42,68,78
108,43,42,68,78
109,43,42,68,78
110,75,15,46,58
111,46,86,39,49
112,29,62,47,81
113,54,14,56,68
114,54,14,56,68
115,19,32,66,93
116,26,21,58,71
117,26,21,58,71
118,11,18,60,81
119,11,18,60,81
120,82,88,62,76
121,89,19,45,63
122,78,18,69,83
123,45,97,38,60
124,32,39,37,54
125,26,87,39,61
126,26,87,39,61
127,50,0,72,88
128,83,88,40,53
129,83,88,40,53
130,83,88,40,53
131,95,5,59,80
132,17,97,53,72
133,57,17,62,74
134,57,17,62,74
135,81,89,34,51
136,1,81,66,82
137,22,82,69,86
138,23,28,47,63
139,79,19,44,59
140,79,19,44,59
141,98,90,47,65
142,19,89,68,86
143,1,9,41,61
144,69,19,41,53
145,68,60,69,87
146,94,14,65,85
147,94,14,65,85
148,85,15,65,80
149,17,32,31,55
150,3,9,64,79
151,60,69,70,90
152,96,90,41,55
153,47,87,40,52
154,47,87,40,52
155,0,90,44,65
156,64,14,52,67
157,64,14,52,67
158,90,0,58,81
159,20,7,66,96
160,20,7,66,96
161,75,5,52,67
162,58,8,67,80
163,38,31,48,67
164,38,31,48,67
165,60,68,62,79
166,60,68,62,79
167,52,59,31,46
168,52,59,31,46
169,12,92,40,62
170,7,87,43,62
171,78,71,37,53
172,78,71,37,53
173,72,24,35,60
174,0,90,45,66
175,0,90,45,66
176,4,55,45,64
177,22,92,31,50
178,37,30,48,68
179,57,50,53,67
180,57,50,53,67
181,10,80,31,47
182,20,28,36,61
183,12,18,60,78
184,12,18,60,78
185,76,70,56,71
186,30,65,58,79
187,87,17,31,49
188,30,39,46,67
189,30,39,46,67
190,30,39,46,67
191,48,40,71,88
192,39,61,69,103
193,31,38,51,68
194,85,69,48,71
195,80,40,42,60
196,87,7,56,76
197,41,14,70,90
198,76,6,55,70
199,87,81,51,65
