road_link_id,from_node_id,to_node_id,link_type,length
0,0,1,1,2
1,0,10,1,2
2,1,2,1,3
3,1,0,1,1
4,1,11,1,3
5,2,3,1,2
6,2,1,1,3
7,2,12,1,3
8,3,4,1,3
9,3,2,1,1
10,3,13,1,2
11,4,5,1,2
12,4,3,1,3
13,4,14,1,2
14,5,6,1,1
15,5,4,1,1
16,5,15,1,2
17,6,7,1,2
18,6,5,1,2
19,6,16,1,3
20,7,8,1,3
21,7,6,1,1
22,7,17,1,3
23,8,9,1,1
24,8,7,1,3
25,8,18,1,3
26,9,8,1,3
27,9,19,1,3
28,10,11,1,2
29,10,0,1,3
30,10,20,1,3
31,11,12,1,3
32,11,10,1,1
33,11,1,1,2
34,11,21,1,1
35,12,13,1,1
36,12,11,1,2
37,12,2,1,1
38,12,22,1,3
39,13,14,1,2
40,13,12,1,1
41,13,3,1,3
42,13,23,1,3
43,14,15,1,3
44,14,13,1,2
45,14,4,1,2
46,14,24,1,2
47,15,16,1,3
48,15,14,1,1
49,15,5,1,3
50,15,25,1,1
51,16,17,1,3
52,16,15,1,1
53,16,6,1,2
54,16,26,1,3
55,17,18,1,3
56,17,16,1,1
57,17,7,1,2
58,17,27,1,2
59,18,19,1,1
60,18,17,1,1
61,18,8,1,3
62,18,28,1,1
63,19,18,1,1
64,19,9,1,3
65,19,29,1,2
66,20,21,1,3
67,20,10,1,3
68,20,30,1,1
69,21,22,1,3
70,21,20,1,3
71,21,11,1,1
72,21,31,1,1
73,22,23,1,3
74,22,21,1,3
75,22,12,1,1
76,22,32,1,2
77,23,24,1,3
78,23,22,1,2
79,23,13,1,3
80,23,33,1,2
81,24,25,1,1
82,24,23,1,1
83,24,14,1,2
84,24,34,1,1
85,25,26,1,3
86,25,24,1,3
87,25,15,1,1
88,25,35,1,2
89,26,27,1,3
90,26,25,1,1
91,26,16,1,1
92,26,36,1,3
93,27,28,1,3
94,27,26,1,2
95,27,17,1,1
96,27,37,1,1
97,28,29,1,1
98,28,27,1,2
99,28,18,1,3
100,28,38,1,1
101,29,28,1,3
102,29,19,1,2
103,29,39,1,1
104,30,31,1,2
105,30,20,1,2
106,30,40,1,2
107,31,32,1,2
108,31,30,1,3
109,31,21,1,2
110,31,41,1,2
111,32,33,1,3
112,32,31,1,2
113,32,22,1,2
114,32,42,1,3
115,33,34,1,1
116,33,32,1,2
117,33,23,1,3
118,33,43,1,2
119,34,35,1,1
120,34,33,1,3
121,34,24,1,2
122,34,44,1,3
123,35,36,1,2
124,35,34,1,1
125,35,25,1,3
126,35,45,1,2
127,36,37,1,2
128,36,35,1,3
129,36,26,1,1
130,36,46,1,2
131,37,38,1,3
132,37,36,1,3
133,37,27,1,3
134,37,47,1,1
135,38,39,1,2
136,38,37,1,2
137,38,28,1,1
138,38,48,1,2
139,39,38,1,1
140,39,29,1,2
141,39,49,1,3
142,40,41,1,3
143,40,30,1,2
144,40,50,1,1
145,41,42,1,3
146,41,40,1,2
147,41,31,1,2
148,41,51,1,1
149,42,43,1,2
150,42,41,1,2
151,42,32,1,1
152,42,52,1,2
153,43,44,1,3
154,43,42,1,1
155,43,33,1,2
156,43,53,1,3
157,44,45,1,2
158,44,43,1,2
159,44,34,1,2
160,44,54,1,1
161,45,46,1,2
162,45,44,1,1
163,45,35,1,1
164,45,55,1,1
165,46,47,1,1
166,46,45,1,3
167,46,36,1,2
168,46,56,1,2
169,47,48,1,1
170,47,46,1,1
171,47,37,1,2
172,47,57,1,2
173,48,49,1,2
174,48,47,1,2
175,48,38,1,2
176,48,58,1,1
177,49,48,1,3
178,49,39,1,3
179,49,59,1,3
180,50,51,1,2
181,50,40,1,3
182,50,60,1,2
183,51,52,1,3
184,51,50,1,1
185,51,41,1,2
186,51,61,1,2
187,52,53,1,1
188,52,51,1,1
189,52,42,1,2
190,52,62,1,2
191,53,54,1,2
192,53,52,1,2
193,53,43,1,1
194,53,63,1,2
195,54,55,1,1
196,54,53,1,1
197,54,44,1,3
198,54,64,1,2
199,55,56,1,1
200,55,54,1,3
201,55,45,1,2
202,55,65,1,3
203,56,57,1,2
204,56,55,1,2
205,56,46,1,2
206,56,66,1,1
207,57,58,1,2
208,57,56,1,1
209,57,47,1,3
210,57,67,1,3
211,58,59,1,3
212,58,57,1,3
213,58,48,1,1
214,58,68,1,2
215,59,58,1,3
216,59,49,1,1
217,59,69,1,3
218,60,61,1,1
219,60,50,1,2
220,60,70,1,3
221,61,62,1,1
222,61,60,1,2
223,61,51,1,1
224,61,71,1,2
225,62,63,1,1
226,62,61,1,1
227,62,52,1,3
228,62,72,1,3
229,63,64,1,1
230,63,62,1,2
231,63,53,1,3
232,63,73,1,3
233,64,65,1,3
234,64,63,1,2
235,64,54,1,3
