psg_id,o_node_id,d_node_id,o_time,d_time
0,79,9,40,58
1,65,7,43,61
2,65,7,43,61
3,82,95,62,76
4,27,65,65,78
5,27,65,65,78
6,5,1,61,72
7,67,17,36,48
8,97,13,38,66
9,47,40,53,67
10,64,14,45,56
11,64,14,45,56
12,51,59,41,61
13,18,54,38,54
14,11,66,39,61
15,38,19,48,56
16,38,19,48,56
17,70,89,52,78
18,30,13,33,46
19,30,13,33,46
20,86,37,72,86
21,39,28,33,41
22,69,5,63,86
23,55,84,55,65
24,49,40,37,54
25,0,80,31,49
26,0,80,31,49
27,8,1,64,80
28,41,79,69,97
29,41,79,69,97
30,47,97,65,78
31,86,16,58,73
32,63,89,36,54
33,63,89,36,54
34,92,2,71,90
35,21,28,61,77
36,50,79,36,64
37,23,83,41,55
38,40,90,59,72
39,40,90,59,72
40,37,31,60,74
41,37,31,60,74
42,54,14,59,69
43,54,14,59,69
44,0,90,59,79
45,0,90,59,79
46,21,66,52,73
47,21,66,52,73
48,44,48,38,49
49,44,48,38,49
50,88,80,40,59
51,8,98,41,63
52,8,98,41,63
53,54,4,51,64
54,54,4,51,64
55,54,4,51,64
56,54,4,51,64
57,54,4,51,64
58,15,63,55,71
59,15,63,55,71
60,15,63,55,71
61,81,16,48,78
62,91,98,61,81
63,62,22,56,65
64,62,22,56,65
65,62,22,56,65
66,4,11,64,72
67,99,19,50,71
68,2,92,42,66
69,35,30,31,41
70,40,48,68,89
71,35,65,71,80
72,47,26,52,59
73,29,75,32,56
74,66,42,49,63
75,31,81,53,68
76,73,3,33,56
77,43,48,57,71
78,43,48,57,71
79,74,71,56,65
80,41,72,64,76
81,95,91,43,52
82,36,8,52,63
83,80,10,47,65
84,34,9,72,89
85,34,9,72,89
86,52,12,65,76
87,92,98,41,60
88,49,41,40,56
89,39,88,50,68
90,44,94,52,64
91,44,94,52,64
92,87,81,56,71
93,73,13,66,86
94,73,13,66,86
95,73,13,66,86
96,84,43,61,72
97,84,43,61,72
98,84,43,61,72
99,5,95,55,74
100,49,99,59,75
101,94,99,51,65
102,11,46,32,51
103,17,81,65,96
104,63,43,48,56
105,65,30,44,59
106,94,14,70,86
107,94,14,70,86
108,45,95,33,45
109,69,19,52,67
110,69,19,52,67
111,69,19,52,67
112,17,97,69,89
113,17,97,69,89
114,56,51,45,56
115,4,19,51,63
116,4,19,51,63
117,52,86,61,82
118,82,2,72,90
119,99,91,39,54
120,51,87,31,55
121,65,5,32,47
122,62,69,47,66
123,61,1,39,56
124,49,99,54,70
125,49,99,54,70
126,49,99,54,70
127,49,99,54,70
128,62,2,67,81
129,78,71,59,75
130,67,92,63,79
131,13,61,63,78
132,13,61,63,78
133,13,61,63,78
134,13,61,63,78
135,68,60,49,65
136,47,14,35,49
137,47,14,35,49
138,26,20,41,58
139,74,92,62,70
140,60,0,36,49
141,60,0,36,49
142,88,80,55,74
143,64,14,41,52
144,35,95,65,80
145,85,5,34,53
146,85,5,34,53
147,11,81,41,58
148,19,93,45,76
149,23,52,51,64
150,23,52,51,64
151,94,4,55,74
152,67,60,43,57
153,67,60,43,57
154,67,60,43,57
155,93,26,38,66
156,55,15,37,47
157,55,15,37,47
158,91,1,68,89
159,91,1,68,89
160,99,90,38,54
161,28,98,31,49
162,51,50,40,46
163,90,99,57,79
164,66,6,58,73
165,7,0,43,58
166,95,51,67,84
167,10,32,70,82
168,59,51,66,81
169,20,28,45,62
170,20,28,45,62
171,87,16,64,83
172,77,17,70,85
173,44,49,46,58
174,3,83,35,53
175,87,80,38,56
176,83,92,33,40
177,13,83,62,78
178,4,9,61,72
179,51,11,34,47
180,72,79,58,77
181,46,86,70,82
182,46,86,70,82
183,43,83,71,79
184,8,10,69,89
185,31,14,70,86
186,6,96,35,53
187,6,96,35,53
188,6,96,35,53
189,45,72,60,74
190,83,89,32,47
191,51,50,57,63
192,74,79,34,49
193,23,93,35,52
194,12,82,48,69
195,91,70,61,68
196,93,99,61,78
197,40,49,36,58
198,74,4,35,51
199,69,14,47,73
