road_link_id,from_node_id,to_node_id,link_type,length
0,0,1,1,3
1,0,10,1,3
2,1,2,1,1
3,1,0,1,1
4,1,11,1,2
5,2,3,1,2
6,2,1,1,3
7,2,12,1,1
8,3,4,1,1
9,3,2,1,2
10,3,13,1,1
11,4,5,1,3
12,4,3,1,2
13,4,14,1,1
14,5,6,1,2
15,5,4,1,3
16,5,15,1,2
17,6,7,1,3
18,6,5,1,3
19,6,16,1,3
20,7,8,1,2
21,7,6,1,1
22,7,17,1,2
23,8,9,1,3
24,8,7,1,3
25,8,18,1,2
26,9,8,1,3
27,9,19,1,2
28,10,11,1,2
29,10,0,1,3
30,10,20,1,3
31,11,12,1,3
32,11,10,1,1
33,11,1,1,1
34,11,21,1,2
35,12,13,1,1
36,12,11,1,1
37,12,2,1,1
38,12,22,1,3
39,13,14,1,3
40,13,12,1,2
41,13,3,1,1
42,13,23,1,1
43,14,15,1,2
44,14,13,1,1
45,14,4,1,1
46,14,24,1,1
47,15,16,1,2
48,15,14,1,3
49,15,5,1,1
50,15,25,1,2
51,16,17,1,1
52,16,15,1,1
53,16,6,1,2
54,16,26,1,1
55,17,18,1,2
56,17,16,1,2
57,17,7,1,1
58,17,27,1,2
59,18,19,1,1
60,18,17,1,1
61,18,8,1,3
62,18,28,1,3
63,19,18,1,1
64,19,9,1,3
65,19,29,1,3
66,20,21,1,2
67,20,10,1,1
68,20,30,1,2
69,21,22,1,1
70,21,20,1,3
71,21,11,1,2
72,21,31,1,2
73,22,23,1,3
74,22,21,1,2
75,22,12,1,1
76,22,32,1,3
77,23,24,1,2
78,23,22,1,1
79,23,13,1,2
80,23,33,1,1
81,24,25,1,1
82,24,23,1,1
83,24,14,1,3
84,24,34,1,3
85,25,26,1,2
86,25,24,1,3
87,25,15,1,1
88,25,35,1,3
89,26,27,1,2
90,26,25,1,2
91,26,16,1,1
92,26,36,1,1
93,27,28,1,2
94,27,26,1,3
95,27,17,1,1
96,27,37,1,2
97,28,29,1,2
98,28,27,1,3
99,28,18,1,1
100,28,38,1,1
101,29,28,1,1
102,29,19,1,3
103,29,39,1,3
104,30,31,1,2
105,30,20,1,2
106,30,40,1,1
107,31,32,1,3
108,31,30,1,3
109,31,21,1,2
110,31,41,1,1
111,32,33,1,3
